2018,2019,2022,countries
,NaN,,United Kingdom of Great Britain and Northern Ireland
,NaN,,United Republic of Tanzania
5,4,,Uruguay
NaN,NaN,,Uzbekistan
3,,,Vanuatu
4,4,,Viet Nam
NaN,N,,Yemen
,NaN,,Zambia
NaN,,,Zambia
4,,,Zimbabwe
